NAME ,NAME (S),DISCLAIMER ,DATA SOURCE/S ,DATA SOURCE/S URL ,COORDINATES - LAT / X,COORDINATES - LONG/ Y,STREET ADDRESS ,CITY (COLONIAL) - EXCLUDE FROM MAP ,PROVINCE/ TERRITORY  (COLONIAL)  - EXCLUDE FROM MAP,ON THE TRADITIONAL LANDS OF (DATA FROM NATIVE-LAND.CA - CONTACT LOCAL NATIONS TO VERIFY) ,IMAGE 1- MAIN ,IMAGE 2 - SECONDARY,DESCRIPTION (LONG) ,PLAQUE/ MARKER TEXT / INSCRIPTION ,ARTIST/ CREATOR,AGENCIES SPONSORING/ MANAGING THE SITE,YEAR DEDICATED ,YEAR CONSTRUCTED ,OBJECT TYPE ,USE TYPES ,USE TYPES 2,SUBJECTS ,SUBJECTS 2,SUBJECTS 3,SUBJECTS 4,HONOREES ,HONOREES 2,HONOREES 3,HONOREES 4,HONOREES 5,HONOREES 6,HONOREES 7,HONOREES 8,HONOREES 9,HONOREES 10,HONOREES 11,HONOREES 12,HONOREES 13,HONOREES 14,HONOREES 15,HONOREES 16,HONOREES 17,HONOREES 18,HONOREES 19,HONOREES 20,HONOREES 21,HONOREES 22,HONOREES 23,HONOREES 24,HONOREES 25,HONOREES 26,HONOREES 27,HONOREES 28,HONOREES 29,HONOREES 30,HONOREES 31,HONOREES 32,HONOREES 33,TAGS,TAGS 2,COMMUNITIES IMPACTED (CROWD-SOURCED),ISSUES REPRESENTED (CROWD-SOURCED),MATERIAL 1,MATERIAL 2,MATERIAL 3,AREA (SQ.KM),HEIGHT (M),WIDTH (M),DEPTH (M),STAGING 1,STAGING 2,STAGING 3,STAGING COMMENTS,GESTURE 1,GESTURE 2,INCLUDES REPLICA? ,YEAR REMOVED (IF APPLICABLE),ADDITIONAL INFORMATION ,
Estipah-skikikini-kots (Blackfoot),Head-Smashed-In Buffalo Jump,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO ,https://whc.unesco.org/en/list/158/maps/,49°44′58″N ,113°37′30″W,Municipal District of Willow Creek No. 26 ,Near Fort Macleod,Alberta ," Ktunaxa ɁamakɁis, Ĩyãħé Nakón mąkóce (Stoney), Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ), Tsuut’ina, Michif Piyii (Métis) ",https://en.wikipedia.org/wiki/Head-Smashed-In_Buffalo_Jump#/media/File:Head-Smashed-In_Buffalo_Jump-27527-2.jpg,,"""In south-west Alberta, the remains of marked trails and an aboriginal camp, and a tumulus where vast quantities of buffalo (American Bison) skeletons can still be found, are evidence of a custom practised by aboriginal peoples of the North American plains for nearly 6,000 years. Using their excellent knowledge of the topography and of buffalo behaviour, they killed their prey by chasing them over a precipice; the carcasses were later carved up in the camp below.""",See interpretive centre and museum on site ,N/A,PROVICE OF ALBERTA/ UNESCO. The site is developed and managed by the Province of Alberta in consultation with the local Blackfoot-speaking First Nations.,1981,,Site ,Comemmorative ,,Blackfoot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,,,,,,,,,,,,,"National Historic Site of Canada and UNESCO World Heritage Site, covered by Alberta Historic Resources Act ",
Historic District of Old Québec (from the Algonquin word Kébec),Kébec,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO ,https://whc.unesco.org/en/list/300/ ,46°48′50″N ,71°12′29″W,N/A ,Québec City ,Québec,"Nitassinan (Innu), Wendake-Nionwentsïo ",,,"""Founded in the 17th century, Québec City bears eloquent testimony to important stages in the European settlement of the Americas: it was the capital of New France and, after 1760, of the new British colony. The Historic District of Old Québec is an urban area of about 135 hectares. It is made up to two parts: the Upper Town, sitting atop Cap Diamant and defended by fortified ramparts, a citadel, and other defensive works, and the Lower Town, which grew up around Place Royale and the harbour. A well-preserved integrated urban ensemble, the historic district is a remarkable example of a fortified colonial town, and unique north of Mexico.""",,,,1985,,Site ,Comemmorative ,,French settlers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,,,,,,,,,,,,,UNESCO World Heritage Site ,
Monument de l'Unesco/ UNESCO Monument ,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ","UNESCO, Ville de Québec ","https://www.waymarking.com/waymarks/wm13QTK_Monument_de_lUnesco_Unesco_Monument_Qubec_Qubec, https://www.ville.quebec.qc.ca/en/citoyens/patrimoine/quartiers/vieux_quebec/interet/monument_de_l_unesco.aspx, https://pcweb.azureedge.net/-/media/lhn-nhs/nl/meadows/pdf/lanse-aux-meadows-management-plan-2019.pdf",46° 48.764 N,071° 12.301 W,N/A ,Québec City ,Québec,"Nitassinan (Innu), Wendake-Nionwentsïo ",https://upload.wikimedia.org/wikipedia/commons/9/93/Monument_UNESCO_Quebec_03.jpg,,"""On December 3, 1985, the World Heritage Committee of the United Nations Education, Science and Culture Organisation (UNESCO) voted to inscribe Old Québec on its list of World Heritage sites. The list inventories the world’s cultural and natural treasures having outstanding universal value. In 2012 only 240 cities around the world shared this distinction.""","«L'arrondissement historique de Québec
The Historic District of Québec
Site appartenant au patrimoine mondial - World Heritage Site

L'arrondissement historique de Québec a été inscrit en 1985 à la liste du patrimoine mondial de l'UNESCO en reconnasissance de sa valeur universelle exceptionnelle.

Berceau de la civilisation française en Amérique, cet arrondissement témoigne par son architecture et ses paysages urbains, du rôle historique que noua Québec à titre de capitale sous les régimes français, britannique et canadien.

Place forte stratégique durant près de rois siècles, Québec a conservé les principales composantes de son système de défense ancien et sconstitue la seule ville d'Amérique du Nord entourée d'une enceinte de fortification authentique.

The Historique District of Québec was inscribed on the UNESCO World Heritage List December3. 1985 in recognition of this exceptional universal value.

The cradle of French civilization in America, this district, with its architecture and urban landscape, bears witness to the historical role Québec has played as capital under the French, British and Canadian regimes.

As a strategic stronghold for almost three centuries, Québec has conserved the principal features of its ancient deffence system and is the only city in North America still surrounded by its authentic fortified walls.

Ce monument développé en trois dimensions Le symbole du patrimoine mondial: le cercle, c'est le monde où nous vivons, le carré, l'établissement humain en ce monde. Québec s'y inscrit dans la forme d'un prisme, joyau de ce patrimoine.

Ce monument fut inauguré le 3 juillet 1986.»",Jean Jobin and Jean Vallières ,,,1986,Sculpture ,Comemmorative ,,French settlers ,,,,John A. Macdonald (1815-1891),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,Bronze ,Glass ,Granite,,,,,On a plinth ,,,On plinth ,,,,,,
L’Anse aux Meadows National Historic Site,Grassland Bay,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ","UNESCO, Parks Canada ","https://parks.canada.ca/lhn-nhs/nl/meadows/info/gestion-management-2019, https://whc.unesco.org/en/list/4",51.59528,-55.5331,"436 L'Anse aux Meadows Road, NL ",Near Hay Cove ,Newfoundland and Labrador ,"Beothuk, Mi’kma’ki ",https://en.wikipedia.org/wiki/L%27Anse_aux_Meadows#/media/File:Authentic_Viking_recreation.jpg,,"""L’Anse aux Meadows was inhabited by Indigenous peoples at least 4,000 years before the arrival of the Norse in ca. AD 1,000. Maritime Archaic peoples, part of an ancient hunter-gatherer occupation of northeastern North America, were the earliest, followed by the Groswater and Dorset, cultures whose origins were in the eastern Arctic. About 2,000 years ago, the area was again home to archaeologically distinct Indigenous cultures, including the ancestors of the Beothuk. Cultural resources of heritage value include: archaeological sites of Indigenous origin on the southern shore of Epaves Bay and in the vicinity of the Norse site as well as the associated artefacts; recent monuments and plaques; and two contemporary cemeteries.""",,,"Province of Newfoundland and Labrador, UNESCO. ""Locally, Parks Canada engages with the Innu Nation, NunatuKavut, Nunatsiavut, Qalipu, and the Miawpukek First Nation. The newly established AkamiUapishkᵁ-KakKasuak-Mealy Mountains National Park Reserve in southern Labrador
protects the Wunderstrand, a 50-kilometer stretch of beach described in the Vinland
Sagas. """,1978,4000 years old ,Site ,Comemmorative ,,Vikings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,National Historic Site,,,,,,"7,991 ha",,,,Includes replica/ reconstruction ,,,This site includes reconstructed Norse buildings that replicate a Viking settlement in North America.,,,Yes ,,National Historic Site of Canada and UNESCO World Heritage Site ,
Landscape of Grand Pré,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ","UNESCO, Parks Canada ","https://whc.unesco.org/en/list/1404, https://parks.canada.ca/culture/spm-whs/sites-canada/sec02p",45.10889,-64.3122,"2205 Grand Pré Rd, Grand Pré, NS","Grand-Pré, Nova Scotia",Nova Scotia ,"Mi’kma’ki, Wabanaki (Dawnland Confederacy)",https://whc.unesco.org/en/list/1404/gallery/,,"""Situated in the southern Minas Basin of Nova Scotia, the Grand Pré marshland and archaeological sites constitute a cultural landscape bearing testimony to the development of agricultural farmland using dykes and the aboiteau wooden sluice system, started by the Acadians in the 17th century and further developed and maintained by the Planters and present-day inhabitants. Over 1,300 ha, the cultural landscape encompasses a large expanse of polder farmland and archaeological elements of the towns of Grand Pré and Hortonville, which were built by the Acadians and their successors. The landscape is an exceptional example of the adaptation of the first European settlers to the conditions of the North American Atlantic coast. The site – marked by one of the most extreme tidal ranges in the world, averaging 11.6 m – is also inscribed as a memorial to Acadian way of life and deportation, which started in 1755, known as the Grand Dérangement.""",,,,2012,,Site ,Comemmorative ,,Acadian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,"1,323.24 ha",,,,Includes replica/ reconstruction ,,,The site includes a replica church and other structures to commemorate the Acadian settlement and deportation.,,,Yes ,,National Historic Site of Canada and UNESCO World Heritage Site and Nova Scotia heritage Property Act  ,
Old Town Lunenburg,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,https://whc.unesco.org/en/list/741,44°23′N ,64°19′W,,Lunenburg,Nova Scotia ,Mi’kma’ki,"https://en.wikipedia.org/wiki/Lunenburg,_Nova_Scotia#/media/File:Lunenburg_Aerial.jpg",,"""Old Town Lunenburg is the best surviving example of a planned British colonial settlement in North America. Established in 1753, it has retained its original layout and overall appearance, based on a rectangular grid pattern drawn up in the home country. The inhabitants have safeguarded the town’s identity throughout the centuries by preserving the wooden architecture of the houses and public buildings, some of which date from the 18th century and constitute an excellent example of a sustained vernacular architectural tradition. Its economic basis has traditionally been the offshore Atlantic fishery, the future of which is highly questionable at the present time.""",,,"Province of Nova Scotia, UNESCO",1995,1753,Site ,Comemmorative ,,European settlers (mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,33.85 ha,,,,,,,,,,,,National Historic Site of Canada and UNESCO World Heritage Site and Nova Scotia heritage Property Act  ,
Red Bay Basque Whaling Station,Butus/ Grand Bay ,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,https://whc.unesco.org/en/list/1412,51°43′55″N ,56°25′32″W,,Red Bay ,Newfoundland and Labrador ,"NunatuKavut, Nitassinan (Innu) ",https://en.wikipedia.org/wiki/File:Saddle_Island.jpg,,"""Red Bay, established by Basque mariners in the 16th century at the north-eastern tip of Canada on the shore of the Strait of Belle Isle is an archaeological site that provides the earliest, most complete and best preserved testimony of the European whaling tradition. Gran Baya, as it was called by those who founded the station in 1530s, was used as a base for coastal hunting, butchering, rendering of whale fat by heading to produce oil and storage. It became a major source of whale oil which was shipped to Europe where it was used for lighting. The site, which was used in the summer months, includes remains of rendering ovens, cooperages, wharves, temporary living quarters and a cemetery, together with underwater remains of vessels and whale bone deposits. The station was used for some 70 years, before the local whale population was depleted.""",,,,2013,,Site ,Comemmorative ,,French settlers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,312.973 ha,,,,,,,,,,,,National Historic Site of Canada and UNESCO World Heritage Site ,
Rideau Canal ,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO ,"https://parks.canada.ca/lhn-nhs/on/rideau/histoire-history, https://whc.unesco.org/en/list/1221/ ",45°25′33″N ,75°41′50″W,,Ottawa ,Ontario ,"Kanienʼkehá꞉ka (Mohawk)
Omàmìwininìwag (Algonquin) Anishinabewaki ᐊᓂᔑᓈᐯᐗᑭ ↗",,,"""The Rideau Canal, a monumental early 19th-century construction covering 202 km of the Rideau and Cataraqui rivers from Ottawa south to Kingston Harbour on Lake Ontario, was built primarily for strategic military purposes at a time when Great Britain and the United States vied for control of the region. The site, one of the first canals to be designed specifically for steam-powered vessels, also features an ensemble of fortifications. It is the best-preserved example of a slackwater canal in North America, demonstrating the use of this European technology on a large scale. It is the only canal dating from the great North American canal-building era of the early 19th century to remain operational along its original line with most of its structures intact.""",,,Province of Ontario ,2007,1826-32,Site ,Military ,,European settlers (mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,"21,454.81 ha/ 212 km long ",,,,,,,,,,,,National Historic Site of Canada and UNESCO World Heritage Site ,
SGang Gwaay,Red Cod Island/ Ninstins/ Nan Sdins ,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO ,"https://www.haidatourism.ca/news/haidagwaii-tour-sganggwaay, https://whc.unesco.org/en/list/157 ,https://parks.canada.ca/culture/spm-whs/sites-canada/sec02f ",52.09722,-131.217,,,British Columbia ,,https://en.wikipedia.org/wiki/Ninstints#/media/File:Haida_villagesite.jpg,,"""What was once a vigorous Haida community of 300 people is today a haunting assemblage of weathered and fragmented house frames and mortuary and memorial poles. By the 1880s, disease had decimated the population of Nan Sdins village on SG̱ang Gwaay, an island at the southern tip of the Haida Gwaii archipelago, and by the turn of the century only remnants of the houses and poles remained.""",,,,1981,,Site ,Comemmorative ,,Haida People ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,,,,,,,,,,,,,National Historic Site of Canada and UNESCO World Heritage Site ,
Writing-on-Stone / Áísínai’pi,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://whc.unesco.org/en/list/1597, https://parks.canada.ca/culture/spm-whs/sites-canada/sec02t, https://www.albertaparks.ca/parks/south/writing-on-stone-pp/ ",49°4′55″N ,111°37′1″W,,,Alberta ,"Cayuse, Umatilla and Walla Walla 
 Ĩyãħé Nakón mąkóce (Stoney) 
 Očhéthi Šakówiŋ 
 Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ) 
 Michif Piyii (Métis) ",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Writing_on_stone990.jpg/560px-Writing_on_stone990.jpg,,"The property is located on the northern edge of the semi-arid Great Plains of North America, on the border between Canada and the United States of America. The Milk River Valley dominates the topography of this cultural landscape, which is characterized by a concentration of pillars or hoodoos – columns of rock sculpted by erosion into spectacular shapes. The Blackfoot Confederacy (Siksikáíítsitapi) left engravings and paintings on the sandstone walls of the Milk River Valley, bearing testimony to messages from Sacred Beings. Dated in situ archaeological remains cover a period between ca. 4,500 BP - 3,500 years BP and the Contact Period. This landscape is considered sacred to the Blackfoot people, and their centuries-old traditions are perpetuated through ceremonies and in enduring respect for the places.",,,,2019,"4,500 BP -3,500 years BP ",Site ,Multiple ,,Blackfoot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,"1,047 ha",,,,,,,,,,,,"National Historic Site of Canada and UNESCO World Heritage Site, covered by Alberta Historic Resources Act, IUCN Category III ",
