NAME ,NAME 2,EMAIL ,USE TYPE ,OBJECT TYPE,YEAR CONSTRUCTED ,YEAR DEDICATED ,YEAR REMOVED ,HONOREES 1,HONOREES 2,LAT,LONG,DATA LINK ,DESCRIPTION ,PHOTO LINK ,PHOTO LINK 2 ,VIDEO LINK ,AUDIO LINK 
Deeply Liveable Neighbourhoods I ,,breeshee@gmail.com,Multiple/ other,,,,,,,43.67406232,-79.46026056,,"Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. The image above is from a live-writing public workshop by @proforma.corps. 

This entry represents a workshop by proforma corps, who strive to use media-architecture installations to engage in site-specific conversations, reframe dialogue on neighborhood issues, and amplify solidarity, visibility, and legitimacy with the most vulnerable affected community members. These actions aim to bring about meaningful discourse on policy, design, and collective visioning capacity, as well as catalyzing attitudinal transformations surrounding social and community needs in the built environment. proforma corps, led by Bria Cole, is an open-format artist collective that creates and collaborates to organize guerrilla urban projection interventions in Tkaronto. Using visualization, media systems, and projection media, the collective aims to collectivize issues that benefit from public dialogue, fostering community engagement and awareness. Past collective members include Mark Francis, Blythe Haynes, and Sarah Keokkeok. 

""Deeply Liveable Neighborhoods"" refers to the details that create culturally rich neighborhoods, which contrasts with the monetization of city buildings. proformacorps presents a live writing station and projection event, welcoming all to share their memories, desires and dreams of a Tkaronto that is liveable beyond the market.
 
 The live writing station included a custom light box containing a pen, sketchpad. A webcam recorded the live illustrations and writing and sent the image through an open source Max patch to convert the video into a vector-based video and projected onto a surface in public space. This participatory event elicited responses to an accompanying animated prompt ""what makes a neighborhood deeply liveable?""",https://www.dropbox.com/scl/fo/du4mwjcip4vad1d621mmn/h/In%20Situ%20St.%20Clair?dl=0&subfolder_nav_tracking=1,,https://vimeo.com/756954257,
Deeply Liveable Neighbourhoods II  ,,breeshee@gmail.com,Multiple/ other,,,,,,,43.67046317,-79.43092749,,"Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. The image above is from a live-writing public workshop by @proforma.corps.

This entry represents a workshop by proforma corps, who strive to use media-architecture installations to engage in site-specific conversations, reframe dialogue on neighborhood issues, and amplify solidarity, visibility, and legitimacy with the most vulnerable affected community members. These actions aim to bring about meaningful discourse on policy, design, and collective visioning capacity, as well as catalyzing attitudinal transformations surrounding social and community needs in the built environment. proforma corps, led by Bria Cole, is an open-format artist collective that creates and collaborates to organize guerrilla urban projection interventions in Tkaronto. Using visualization, media systems, and projection media, the collective aims to collectivize issues that benefit from public dialogue, fostering community engagement and awareness. Past collective members include Mark Francis, Blythe Haynes, and Sarah Keokkeok. 

""Deeply Liveable Neighborhoods"" refers to the details that create culturally rich neighborhoods, which contrasts with the monetization of city buildings. proformacorps presents a live writing station and projection event, welcoming all to share their memories, desires and dreams of a Tkaronto that is liveable beyond the market.
 
 The live writing station included a custom light box containing a pen, sketchpad. A webcam recorded the live illustrations and writing and sent the image through an open source Max patch to convert the video into a vector-based video and projected onto a surface in public space. This participatory event elicited responses to an accompanying animated prompt ""what makes a neighborhood deeply liveable?""",https://www.dropbox.com/scl/fo/du4mwjcip4vad1d621mmn/h/In%20Situ%20-%20Dupont?dl=0&subfolder_nav_tracking=1,,https://vimeo.com/756958976,
Deeply Liveable Neighbourhoods II ,,breeshee@gmail.com,Multiple/ other,,,,,,,43.67046317,-79.43092749,,"Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. The image above is from a live-writing public workshop by @proforma.corps that took place on Geary Avenue, on Treaty 13 Territory. 

This entry represents a workshop by proforma corps, who strive to use media-architecture installations to engage in site-specific conversations, reframe dialogue on neighborhood issues, and amplify solidarity, visibility, and legitimacy with the most vulnerable affected community members. These actions aim to bring about meaningful discourse on policy, design, and collective visioning capacity, as well as catalyzing attitudinal transformations surrounding social and community needs in the built environment. proforma corps, led by Bria Cole, is an open-format artist collective that creates and collaborates to organize guerrilla urban projection interventions in Tkaronto. Using visualization, media systems, and projection media, the collective aims to collectivize issues that benefit from public dialogue, fostering community engagement and awareness. Past collective members include Mark Francis, Blythe Haynes, and Sarah Keokkeok. 

""Deeply Liveable Neighborhoods"" refers to the details that create culturally rich neighborhoods, which contrasts with the monetization of city buildings. proformacorps presents a live writing station and projection event, welcoming all to share their memories, desires and dreams of a Tkaronto that is liveable beyond the market.
 
 The live writing station included a custom light box containing a pen, sketchpad. A webcam recorded the live illustrations and writing and sent the image through an open source Max patch to convert the video into a vector-based video and projected onto a surface in public space. This participatory event elicited responses to an accompanying animated prompt ""what makes a neighborhood deeply liveable?""",https://www.dropbox.com/scl/fo/du4mwjcip4vad1d621mmn/h/In%20Situ%20-%20Dupont?dl=0&subfolder_nav_tracking=2,,https://vimeo.com/756958977,
Deeply Liveable Neighbourhoods III  ,,breeshee@gmail.com,Multiple/ other,,,,,,,43.67025501,-79.44058265,,"Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. The image above is from a live-writing public workshop by @proforma.corps. 

This entry represents a workshop by proforma corps, who strive to use media-architecture installations to engage in site-specific conversations, reframe dialogue on neighborhood issues, and amplify solidarity, visibility, and legitimacy with the most vulnerable affected community members. These actions aim to bring about meaningful discourse on policy, design, and collective visioning capacity, as well as catalyzing attitudinal transformations surrounding social and community needs in the built environment. proforma corps, led by Bria Cole, is an open-format artist collective that creates and collaborates to organize guerrilla urban projection interventions in Tkaronto. Using visualization, media systems, and projection media, the collective aims to collectivize issues that benefit from public dialogue, fostering community engagement and awareness. Past collective members include Mark Francis, Blythe Haynes, and Sarah Keokkeok. 

""Deeply Liveable Neighborhoods"" refers to the details that create culturally rich neighborhoods, which contrasts with the monetization of city buildings. proformacorps presents a live writing station and projection event, welcoming all to share their memories, desires and dreams of a Tkaronto that is liveable beyond the market.
 
 The live writing station included a custom light box containing a pen, sketchpad. A webcam recorded the live illustrations and writing and sent the image through an open source Max patch to convert the video into a vector-based video and projected onto a surface in public space. This participatory event elicited responses to an accompanying animated prompt ""what makes a neighborhood deeply liveable?""",https://www.dropbox.com/scl/fo/du4mwjcip4vad1d621mmn/h/In%20Situ%20-%20Geary?dl=0&subfolder_nav_tracking=1,,https://vimeo.com/760331629,
Cherries,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67747,-79.42822,,"Of all the things suspended
 in the air
 I didn't expect time to also
 be there with you
 Dangling, whirling, rustling
 In and on my mind
 Where all the currents of
 time move through you in 
 my mind
 I’m embedded in your
 conductive medium
 Where are you taking me? 
 I like the way you look at me
 from up there
 I wonder how many airs
 have moved through you
 Breath and not
 You give me the blueprint 
 for the sky
 But the sky turns
 sometimes
 Time stops sometimes
 Dangling, whirling, rustling
 
 Later I came to find that we
 were both only loosely fitted
 to the sphere of potential

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/1q-GeoypJLHA0co2ezHh0yaK6mRtzmbGV/view?usp=sharing,,,
Roses and Grapes ,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.6792,-79.42856,,"Measure of summer
 Intoxicating promise
 Who knows where August
 will land
 Where the grapes will land 
 and whether the promise
 will break
 Explode all over the street
 What then ? 
 Who will be 
 there? Who will hear it?
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/1q-GeoypJLHA0co2ezHh0yaK6mRtzmbGV/view?usp=sharing,,,
“DANGER Deep Water Quicksand” in Wychwood Park,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.6773,-79.41948,,"Algal surface tension
 broken by 
 unseen underneath.
 What secrets lie here?
 Who sunk here?
 Undisturbed silken depth,
 wooded frame,
 the city’s urban density 
 shows no signs here,
 no high rises here,
 in this green enclave within 
 gr$$n enclave.
 Former Victorian artist colony,
 former Taddle Creek,
 dammed up, bound, or
 buried,
 once a springtime gathering 
 place,
 solitude and tranquility 
 hoarded now,
 kept hidden by wealth.
 Road hum trickles through a 
 shuttered south gate,
 excess pool trickles down 
 grate,
 time is still here,
 time a dangerous illusion 
 here.

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",https://drive.google.com/file/d/1j8UfhGy31_F-qVN2OIvopPseqfmLNt7j/view?usp=sharing,,,
Nothing New Stays the Same,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67704,-79.43472,,"Then why should this new thing
 feel so dire? A fence
 a wall concave 
 on the corner.
 
 Bound now —
 
 it was open — 
 a convex
 so magic 
 fairies gathered 
 and foraged for belonging
 hidden under their leaves
  
 watched and shouted hums
 their wanders, hot summer eves 
 and in their gather 
 danced the fairies
 
 danced and sang
 densed and rang
 dawned and reigned
 and rejoiced in their findings
 until they got evicted.
 
 If this fence
 I wish
 were any different, 
 would the present
 here be 
 any less misplaced?
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/13fo2hX2nRcjXW0RjPzo4tgAjNDiyjm4u/view?usp=sharing,,,
Views From an Ancient Shore,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.6735,-79.44045,,"Here, 
 memories don’t whisper 
 tucked up above
 buzzing vistas, the swarming 
 sssshhhhhhhhh 
 of tall grasses
 dance in the wind.
 Standing on bygone bluffs 
 staring towers in the eye, 
 toward the saltless sea.
 
 A friend comes to me
 on the concrete canopy
 and his memory touches my leg. 
 I ask him, ""What is it like 
 on the other side?""
 He says, ""It's
 so high, but no horizon 
 in sight, just rushing storms
 signaled by the wind.""
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/1XvSY9A98AVp4x0EPNXZJXQBZ-SbZQjn0/view?usp=sharing,,,
Discovering Pieces of Myself Along My Journey [A Playlist],,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.68139,-79.41771,,"A House is Not a Home, by Luther Vandross
 Casualty, by Lawrence
 Forever, by Mariah Carey 
 Too Deep, by DVSN
 Look, by Leikeli47
 Focus, by H.E.R.
 Ring my Bell, by Anita Ward
 The Hustle, by Van McCoy
 Ase, by Arya Starr
 Let Me Be Your Star, by SMASH
 Candy, by Cameo
 Fall, by Davido
 Askamaya, by Teni
 Little Story, by Kehlani
 Break Her Heart for Me, by KIRBY

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/1NyAO6nKZ9GOyin0zENMQmx1NmO9_AOXn/view?usp=sharing,,,
